Feature ID,Area / Module,Route / Screen / Entry Point,Feature Name,User Story,Expected Behavior,Primary Code References,State / Hook Dependencies,API / Server / DB Dependencies,Auth / Permission Requirements,Realtime / Subscription Behavior,Loading State Expected,Error State Expected,Empty State Expected,Mobile / Responsive Expectations,Test Type,Test Steps,Current Status,Errors Found,Severity,Fix Summary,Retest Status,Regression Risk,Notes
F-011,Profile,/profile,Current profile bio,"As a user, I want to view and edit my profile, so that my public identity is accurate.","ProfileBio loads signed-in profile or mock fallback, displays avatar/name/username/bio/location, toggles edit mode, validates auth before edit/save, updates profilesRepo and Zustand store.",src/App.tsx; src/pages/ProfileBio.tsx; src/store; src/services/data/profilesRepo.ts,isEditing/saving/loading/profile/profileData local state; user store auth state.,profilesRepo.getById/update; mockUsers fallback.,Edit/save require authenticated store user; signed-out can view fallback but receives error toasts on edit/save.,None.,Loading text in card.,Auth/save errors via toast.,No explicit no-profile empty state.,"Centered card, avatar controls, responsive width.",Static code review + automated build attempt,Open /profile signed out/signed in; edit fields; save; refresh; verify store/persistence; mobile layout.,Ready To Test,Manual QA blocked by install failure.,None,No fix required.,Not retested - no fix,Medium,Store sync depends on Supabase profile availability after signup trigger.
F-012,Social,/user/:username,Public user profile and follows,"As a user, I want to view user profiles and follow/unfollow people, so that I can connect socially.","UserProfile uses username param, redirects missing username, loads profile hook, shows loading/not-found/private/public states, and follow/unfollow toasts/actions.",src/App.tsx; src/pages/UserProfile.tsx; src/hooks/useUserProfile.ts; src/services/social/followService.ts,useUserProfile hook; currentUser store; isOwnProfile derived; follow state in hook.,profiles/posts/places repositories; followService; Supabase RLS expected for follow writes.,Unauthenticated follow/unfollow denied with toast; own profile detected.,No route-level realtime.,Loading spinner.,Not-found/error state with Go Home.,PrivateProfileContent for private profiles.,Profile header/tabs responsive components.,Static code review + automated build attempt,Open existing/missing/private usernames; attempt follow signed out/signed in; refresh; inspect mobile and RLS failures.,Blocked - External Service,Real follow QA requires Supabase auth and RLS data.,Medium,No code fix made.,Blocked - External Service,Medium,Permission boundary should be verified backend-side in Supabase policies.
F-013,Analytics,/data-insights,Venue analytics and subscription-gated insights,"As a venue owner, I want analytics, sentiment, review analysis, and advertising tools, so that I can improve performance.","DataInsights has demo tier controls, gated tabs, PremiumBanner for locked tiers, Overview/Analytics/Sentiment/Enhanced Sentiment/Advertising content, and tier badge.",src/App.tsx; src/pages/DataInsights.tsx; src/components/data-insights/*; src/services/SquareAIService.ts,subscriptionTier local state; component-local analysis state; file upload state in AnalyticsFileUpload.,"Supabase edge functions: square-ai, review-sentiment-analyzer, parse-venue-reviews; file upload parsing local/client.",No hard protected route; feature gates based on local tier for demo.,None.,Component-level analysis/upload pending states.,External analysis errors in components/toasts/logs.,Free tier cards or no-data charts depending tab.,Tabs may wrap; content cards responsive.,Static code review + automated build attempt,Open /data-insights; switch tiers; verify locked tabs; upload file; invoke sentiment; mobile tabs; inspect network failures.,Blocked - External Service,Square/Gemini/external review analysis require secrets/functions.,Medium,No code fix made.,Blocked - External Service,Medium,"External blockers: Square token, Gemini key, Supabase function deploy/secrets."
F-014,Advertising,/advertiser-hub,Advertiser campaign hub,"As an advertiser, I want campaign creation, targeting, reporting, Google AI, and Meta AI tools, so that I can plan and monitor ads.","AdvertiserHub renders header badges and five tabbed sections for creation, targeting, reporting, Google AI, and Meta AI.",src/App.tsx; src/pages/AdvertiserHub.tsx; src/components/advertising/*,activeTab local state; child form states.,Child components are mostly mock/static; Google/Meta integrations may require external accounts when implemented.,No auth gate in route.,None.,No route-level loading.,No route-level error state.,Mock campaign empty states in child analytics tables.,Fixed grid-cols-5 tab list may be cramped on narrow mobile; needs manual visual check.,Static code review + automated build attempt,Open /advertiser-hub; switch all tabs; create/edit campaign fields; mobile width tab list; inspect console.,Ready To Test,Potential mobile cramped tabs not confirmed due local app startup blocked.,Low,No fix made without visual reproduction.,Not retested - no fix,Medium,"If mobile tabs overflow, apply horizontal scroll rather than redesign."
F-015,Messaging,/messages,Venue messaging,"As a user, I want to message venues, so that I can communicate before visiting.","Messages route renders VenueMessaging, gates by subscription feature, loads conversations with mock fallback, selects first conversation, filters search, marks selected read, sends messages with optimistic UI and rollback, and subscribes to conversation updates.",src/App.tsx; src/pages/Messages.tsx; src/components/messaging/VenueMessaging.tsx; src/services/data/messagesRepo.ts,conversations/selectedConversation/newMessage/searchQuery/loading state; useUserSubscription; effect cleanup; optimistic message state.,messagesRepo list/send/subscribe/markRead; Supabase realtime channels; mockVenueConversations fallback.,FeatureGate via subscription; backend RLS should enforce actual message permissions.,messagesRepo.subscribeToConversation with Supabase channel cleanup.,Loading conversations text/spinner.,Send failure restores input and toasts; list failure falls back to mock with warning.,FeatureGate upgrade/empty card; filtered list can become empty.,Mobile hides conversation list when selected and shows back button.,Static code review + automated build attempt,Open /messages; search; select conversation; send; simulate send failure; observe optimistic rollback; duplicate tab realtime; mobile back button.,Blocked - External Service,Realtime/data QA requires Supabase env and seeded conversations.,Medium,No code fix made.,Blocked - External Service,High,High regression risk around optimistic update + realtime duplicate events; verify idempotency manually.
F-016,Discounts,/discounts,Discount discovery,"As a user, I want to browse discounted venues and open venue pages, so that I can use deals nearby.","Discounts maps mock discount offers into map locations, renders NearbyVibesMap, discount cards, promo codes/conditions, and View Venue navigation.",src/App.tsx; src/pages/Discounts.tsx; src/mock/discountOffers.ts; src/components/NearbyVibesMap.tsx,selectedVenue/mapExpanded local state; navigate hook.,Mock discountOffers only; map may use map components.,No auth required.,None.,Map loading hardcoded false; no page loading.,No error state for discount data.,No empty state for empty discountOffers.,Responsive one/two/three-column cards.,Static code review + automated build attempt,Open /discounts; select map venue/card; click View Venue; expand map; test mobile.,Ready To Test,No confirmed runtime defect.,None,No fix required.,Not retested - no fix,Low,"If discounts become API-backed, add loading/error/empty states."
F-017,Recovery,* and unknown /venue/*,Not found recovery,"As a user on an unknown route, I want suggested recovery actions, so that I can continue using the app.","NotFound logs missing route, suggests random venues, auto-redirects malformed /venue paths to a random venue after 2 seconds, and offers Back to Discover and Explore Vibes actions.",src/App.tsx; src/pages/NotFound.tsx,location/navigate hooks; suggestedLocations local state; redirect timeout cleanup.,mockLocations only.,No auth required.,None.,No loading state.,404 page itself is error state; console error records route.,Suggested venues shown from mock list; no suggestions if mock empty.,Centered responsive max-width layout.,Static code review + automated build attempt,Open /bad-path; open /venue/missing-ish route only if route falls through; click actions; verify redirect timer cleanup.,Ready To Test,No confirmed runtime defect.,None,No fix required.,Not retested - no fix,Low,"Route /venue/:id is handled by VenueProfile, so NotFound venue redirect only applies unmatched venue path shapes."
F-018,Global shell,App providers and lazy routing,App providers and lazy routing,"As any user, I want app-wide auth, theme, mobile context, assistant, and notifications, so that features share consistent state.","App wraps routes in SupabaseAuthProvider, MobileProvider, ThemeProvider, BrowserRouter, Suspense, VernonNext, and Toaster; viewport meta is adjusted for mobile safe-area/no zoom.",src/App.tsx; src/auth/SupabaseAuthProvider.tsx; src/providers/MobileProvider.tsx; src/components/VernonNext/*,Auth context state; mobile provider state; theme storage key; Suspense fallback; viewport effect.,Supabase auth/session/profile sync; VernonNext invokes AI/speech/places edge functions.,Auth provider exposes session/user/isAuthenticated; routes mostly not protected at router level.,Supabase auth state subscription; VernonNext speech/media event listeners.,Full-screen Loading... for lazy chunks.,Provider sync logs auth profile sync failures; no app-level error boundary.,Not applicable.,Viewport disables user scaling and uses viewport-fit=cover; bottom nav from Layout.,Static code review + automated build attempt,Cold load app; refresh authenticated session; navigate lazy routes; test mobile viewport; inspect console.,Ready To Test,"No app-level ErrorBoundary is product debt, not confirmed broken.",Low,No fix required.,Not retested - no fix,Medium,Adding an error boundary would be a separate hardening task.
F-019,Assistant/AI,Global VernonNext widget,Global VernonNext widget,"As a user, I want a voice/chat assistant, so that I can ask for recommendations hands-free or by text.","Global VernonNext renders chat button/window, manages open/listening state, speech recognition, OpenAI chat, speech synthesis, NLP and places services.",src/App.tsx; src/components/VernonNext/index.tsx; src/components/VernonNext/ChatWindow.tsx; src/components/VernonNext/hooks/*,isOpen/listening/transcript/messages/loading/audio state in VernonNext hooks; browser MediaRecorder/SpeechRecognition APIs.,"Supabase edge functions openai-chat, google-stt/google-tts, google-places, google-nlp depending hook path; browser microphone permission.",No app auth requirement observed; external APIs require configured Supabase secrets.,No app realtime; media event listeners require cleanup.,Chat loading/typing states from hooks.,Speech/mic/API errors logged and surfaced by hook fallback where implemented.,Empty initial chat prompt/window state.,Floating chat button; mobile SmartChatButton components exist for mobile patterns.,Static code review + automated build attempt,Open widget; send text; start/stop voice; deny microphone; test mobile overlay; inspect network and console.,Retested - Pass,Hardcoded ElevenLabs secret-like API key in client bundle/localStorage default path; missing-key behavior would silently use embedded key.,High,Removed the hardcoded ElevenLabs default API key and stopped writing a default key to localStorage; callers now fall back when no user-provided key exists.,Retested - Pass via static search confirming no sk_ ElevenLabs key remains; runtime voice provider calls still blocked without external key.,High,"External-services plus browser permissions make this a high-risk integration flow. Fix rollback: revert src/services/ElevenLabs/base.ts only, but do not restore compromised keys; rotate any exposed ElevenLabs key in dashboard."
F-020,External API surface,Supabase Edge Functions,Supabase Edge Functions,"As the app, I want edge functions for maps/search/AI/audio/ticketing/integrations, so that client features can call third-party services without exposing secrets.","Functions validate requests, call external providers, and return CORS responses for Google Maps/Places/NLP/STT/TTS, Gemini, OpenAI, Perplexity, Square, Ticketmaster, Yelp, content safety, vector search, and agent protocol.",supabase/functions/*; src/services/edge/invokeEdge.ts; src/integrations/supabase/client.ts,Client service hooks manage request/loading/error state; edge functions use env secrets and shared CORS/auth helpers.,"Supabase Edge Functions; external API keys/secrets: Google, Gemini, OpenAI/OpenRouter, Deepgram/ElevenLabs, Square, Ticketmaster, Yelp, Perplexity.",Some functions public from client; service-role/auth requirements must be reviewed per function before production.,Not realtime; invoked per request.,Function callers usually expose pending states; not uniform.,Functions return error responses and log server errors; callers vary between toasts/fallbacks/logging.,Provider-specific mock/fallback behavior in some functions/components.,No direct mobile UI; affects mobile callers equally.,Static code review + automated install/lint/build attempts,"For each function, verify env secret, CORS, auth expectations, invalid payload, provider failure, and client fallback; test local Supabase where possible.",Retested - Pass,Required Supabase client env vars VITE_SUPABASE_URL and VITE_SUPABASE_PUBLISHABLE_KEY were missing from .env.example.,Medium,Documented required Supabase browser env vars in .env.example and clarified that only provider keys are optional.,Retested - Pass via static inspection of .env.example and Supabase client env usage.,High,Production readiness requires secret audit and function-by-function smoke tests. External action: populate .env.local/Vercel with Supabase URL and publishable/anon key.
